,DaysFromStart,Score,k_cat,a,b,c,d,e,f
46,9,56116.939770000005,d,0,0,0,1,0,0
47,9,83686.68485,e,0,0,0,0,1,0
48,9,47807.32033,c,0,0,1,0,0,0
49,9,95691.07724,e,0,0,0,0,1,0
50,9,56659.38059,d,0,0,0,1,0,0
51,9,53403.16576,d,0,0,0,1,0,0
52,9,47708.22769,c,0,0,1,0,0,0
53,9,58661.39661,d,0,0,0,1,0,0
54,9,54957.960020000006,d,0,0,0,1,0,0
55,9,42788.43551,c,0,0,1,0,0,0
56,10,43819.140419999996,c,0,0,1,0,0,0
57,10,50765.337569999996,c,0,0,1,0,0,0
58,10,42115.06864,c,0,0,1,0,0,0
59,10,45847.04489,c,0,0,1,0,0,0
60,10,39778.84711,b,0,1,0,0,0,0
61,10,38851.16046,b,0,1,0,0,0,0
62,10,38215.17248,b,0,1,0,0,0,0
63,10,43302.19717,c,0,0,1,0,0,0
64,10,44955.23546,c,0,0,1,0,0,0
65,10,35693.832839999995,b,0,1,0,0,0,0
66,10,44685.27688,c,0,0,1,0,0,0
67,10,42302.23763,c,0,0,1,0,0,0
68,10,35830.86602,b,0,1,0,0,0,0
69,10,47327.434,c,0,0,1,0,0,0
70,10,56647.217070000006,d,0,0,0,1,0,0
71,10,49446.49419,c,0,0,1,0,0,0
72,10,35414.9583,b,0,1,0,0,0,0
73,10,48873.55059,c,0,0,1,0,0,0
74,10,41512.664939999995,c,0,0,1,0,0,0
76,10,41471.540839999994,c,0,0,1,0,0,0
77,10,47005.5396,c,0,0,1,0,0,0
78,10,94185.44134,e,0,0,0,0,1,0
79,10,94185.44134,e,0,0,0,0,1,0
80,10,94185.44134,e,0,0,0,0,1,0
81,10,37754.10588,b,0,1,0,0,0,0
82,10,42672.46422,c,0,0,1,0,0,0
84,11,42356.35773,c,0,0,1,0,0,0
85,11,37261.554110000005,b,0,1,0,0,0,0
86,11,54111.7388,d,0,0,0,1,0,0
87,11,44947.69838,c,0,0,1,0,0,0
88,11,39343.829260000006,b,0,1,0,0,0,0
89,11,38678.54064,b,0,1,0,0,0,0
90,11,51770.728689999996,d,0,0,0,1,0,0
91,11,38159.87221,b,0,1,0,0,0,0
92,11,32009.965930000002,a,1,0,0,0,0,0
93,11,44174.88314,c,0,0,1,0,0,0
94,11,40863.06269,c,0,0,1,0,0,0
95,11,40167.74706,b,0,1,0,0,0,0
96,11,36021.07413,b,0,1,0,0,0,0
97,12,38659.38472,b,0,1,0,0,0,0
98,12,36616.719430000005,b,0,1,0,0,0,0
99,12,37745.59697,b,0,1,0,0,0,0
100,12,37100.325280000005,b,0,1,0,0,0,0
101,12,36982.102360000004,b,0,1,0,0,0,0
102,12,31276.20062,a,1,0,0,0,0,0
